Пользователь;Система
Мастер Автоприёмщик;-
Регистрация новых пользователей в системе;После заполнения формы данными о сотруднике, они записываются в бд, а мастер автоприёмщик возвращается на страницу с таблицей сотрудников
Авторизация;Переход в панель администратора при успешной операции
Назначение пользователей на смены;После заполнения формы данными о смене, они записываются в БД, а администратор возвращается на страницу с таблицей смен
Просмотр всех заказов;Вывод списка всех заказов за текущий день
Просмотр всех смен;Вывод списка всех смен
Перевод пользователей в статус «уволен»;Сохранение измененных статусов сотрудников в БД, обновление списка сотрудников
Удаление заказов (?);Удаление данных о заказах из БД, обновление списка заказов
Автодиагностик;-
Авторизация;Переход на страницу списка заказов за текущую смену
Просмотр заказов;Отображение таблицы заказов за текущую смену
Создание новых заказов;Сохранение новых заказов в БД, переадресация на страницу заказов
Изменение статуса заказа (принят, оплачен);Сохранение измененных статусов заказа в БД
Удаление заказов (?);
Автомеханик;-
Авторизация;Переход на страницу списка заказов за текущую смену
Просмотр заказов;Отображение таблицы заказов за текущую смену
Изменение статуса заказа (в процессе, готов);Сохранение измененных статусов заказа в БД
